Source,Layer,Type,Bar Index,Time,Python Price
PYTHON,INTERNAL,BOS_UP,73,2025-11-11 00:14:00,4126.6
PYTHON,INTERNAL,BOS_UP,83,2025-11-11 00:24:00,4128.7
PYTHON,INTERNAL,BOS_UP,104,2025-11-11 00:45:00,4135.7
PYTHON,INTERNAL,BOS_UP,148,2025-11-11 01:29:00,4143.1
PYTHON,INTERNAL,CHOCH_DOWN,164,2025-11-11 01:45:00,4141.5
PYTHON,INTERNAL,CHOCH_UP,202,2025-11-11 02:23:00,4143.4
PYTHON,INTERNAL,CHOCH_DOWN,210,2025-11-11 02:31:00,4137.8
PYTHON,INTERNAL,CHOCH_UP,220,2025-11-11 02:41:00,4140.3
PYTHON,INTERNAL,BOS_UP,249,2025-11-11 03:10:00,4146.8
PYTHON,EXTERNAL,BOS_UP,250,2025-11-11 03:11:00,4147.9
PYTHON,INTERNAL,BOS_UP,272,2025-11-11 03:33:00,4152
PYTHON,INTERNAL,BOS_UP,302,2025-11-11 04:03:00,4154.3
PYTHON,INTERNAL,CHOCH_DOWN,312,2025-11-11 04:13:00,4148.9
PYTHON,INTERNAL,CHOCH_UP,330,2025-11-11 04:31:00,4151
PYTHON,INTERNAL,CHOCH_DOWN,342,2025-11-11 04:43:00,4148.5
PYTHON,INTERNAL,BOS_DOWN,364,2025-11-11 05:05:00,4146.8
PYTHON,INTERNAL,BOS_DOWN,390,2025-11-11 05:31:00,4141.6
PYTHON,EXTERNAL,CHOCH_DOWN,396,2025-11-11 05:37:00,4132.9
PYTHON,INTERNAL,CHOCH_UP,440,2025-11-11 06:21:00,4142.5
PYTHON,INTERNAL,CHOCH_DOWN,484,2025-11-11 07:05:00,4132.7
PYTHON,INTERNAL,CHOCH_UP,501,2025-11-11 07:22:00,4139.3
PYTHON,INTERNAL,CHOCH_DOWN,517,2025-11-11 07:38:00,4134
PYTHON,INTERNAL,BOS_DOWN,531,2025-11-11 07:52:00,4131.4
PYTHON,INTERNAL,CHOCH_UP,542,2025-11-11 08:03:00,4140.1
PYTHON,INTERNAL,BOS_UP,551,2025-11-11 08:12:00,4143.8
PYTHON,EXTERNAL,CHOCH_UP,555,2025-11-11 08:16:00,4144.3

NINJA,INTERNAL,BOS_UP,83,2025-11-11 00:24:00,
NINJA,INTERNAL,BOS_UP,104,2025-11-11 00:45:00,
NINJA,INTERNAL,BOS_UP,148,2025-11-11 01:29:00,
NINJA,INTERNAL,CHOCH_DOWN,164,2025-11-11 01:45:00,
NINJA,INTERNAL,CHOCH_UP,202,2025-11-11 02:23:00,
NINJA,INTERNAL,CHOCH_DOWN,210,2025-11-11 02:31:00,
NINJA,INTERNAL,CHOCH_UP,220,2025-11-11 02:41:00,
NINJA,INTERNAL,BOS_UP,249,2025-11-11 03:10:00,
NINJA,EXTERNAL,BOS_UP,250,2025-11-11 03:11:00,
NINJA,INTERNAL,BOS_UP,272,2025-11-11 03:33:00,
NINJA,INTERNAL,BOS_UP,302,2025-11-11 04:03:00,
NINJA,INTERNAL,CHOCH_DOWN,312,2025-11-11 04:13:00,
NINJA,INTERNAL,CHOCH_UP,330,2025-11-11 04:31:00,
NINJA,INTERNAL,CHOCH_DOWN,342,2025-11-11 04:43:00,
NINJA,INTERNAL,BOS_DOWN,364,2025-11-11 05:05:00,
NINJA,INTERNAL,BOS_DOWN,390,2025-11-11 05:31:00,
NINJA,EXTERNAL,CHOCH_DOWN,396,2025-11-11 05:37:00,
NINJA,INTERNAL,CHOCH_UP,440,2025-11-11 06:21:00,
NINJA,INTERNAL,CHOCH_DOWN,484,2025-11-11 07:05:00,
NINJA,INTERNAL,CHOCH_UP,501,2025-11-11 07:22:00,
NINJA,INTERNAL,CHOCH_DOWN,517,2025-11-11 07:38:00,
NINJA,INTERNAL,BOS_DOWN,531,2025-11-11 07:52:00,
NINJA,INTERNAL,CHOCH_UP,542,2025-11-11 08:03:00,
NINJA,INTERNAL,BOS_UP,551,2025-11-11 08:12:00,
NINJA,EXTERNAL,CHOCH_UP,555,2025-11-11 08:16:00,
