bar_index,timestamp,is_bullish,top,bottom,gap_size
73,2025-11-11 00:14:00,True,4125.9,4125.3,0.5999999999994543
76,2025-11-11 00:17:00,True,4127.4,4127,0.3999999999996362
87,2025-11-11 00:28:00,True,4129.7,4128.4,1.300000000000182
93,2025-11-11 00:34:00,True,4133.7,4132.9,0.8000000000001819
103,2025-11-11 00:44:00,True,4134.1,4133.2,0.9000000000005457
109,2025-11-11 00:50:00,True,4136.2,4135.1,1.0999999999994543
118,2025-11-11 00:59:00,False,4138.8,4137.8,1.0
125,2025-11-11 01:06:00,False,4139.9,4139.3,0.5999999999994543
136,2025-11-11 01:17:00,True,4139.7,4139.1,0.5999999999994543
139,2025-11-11 01:20:00,False,4139.8,4138.6,1.199999999999818
145,2025-11-11 01:26:00,True,4139.1,4138.8,0.3000000000001819
146,2025-11-11 01:27:00,True,4140.5,4139.1,1.3999999999996362
147,2025-11-11 01:28:00,True,4141.8,4141,0.8000000000001819
164,2025-11-11 01:45:00,False,4145.6,4144.7,0.9000000000005457
165,2025-11-11 01:46:00,False,4143.2,4142,1.199999999999818
175,2025-11-11 01:56:00,False,4141.2,4139,2.199999999999818
177,2025-11-11 01:58:00,True,4139.3,4139,0.3000000000001819
178,2025-11-11 01:59:00,True,4140.7,4140.4,0.3000000000001819
179,2025-11-11 02:00:00,True,4141.3,4140.8,0.5
182,2025-11-11 02:03:00,False,4141.4,4140.9,0.5
183,2025-11-11 02:04:00,False,4140.4,4139.2,1.199999999999818
203,2025-11-11 02:24:00,True,4142.8,4142,0.8000000000001819
206,2025-11-11 02:27:00,False,4142.2,4141.3,0.8999999999996362
210,2025-11-11 02:31:00,False,4140.6,4140.3,0.3000000000001819
211,2025-11-11 02:32:00,False,4139.6,4138.6,1.0
220,2025-11-11 02:41:00,True,4138.3,4138,0.3000000000001819
221,2025-11-11 02:42:00,True,4140.1,4138.9,1.2000000000007276
222,2025-11-11 02:43:00,True,4140.9,4140.3,0.5999999999994543
223,2025-11-11 02:44:00,True,4142.6,4141.1,1.5
229,2025-11-11 02:50:00,False,4143.8,4143.4,0.4000000000005457
230,2025-11-11 02:51:00,False,4143.1,4142.5,0.6000000000003638
238,2025-11-11 02:59:00,True,4143.2,4142.6,0.5999999999994543
245,2025-11-11 03:06:00,True,4144.3,4143.9,0.4000000000005457
250,2025-11-11 03:11:00,True,4146.6,4145.4,1.2000000000007276
251,2025-11-11 03:12:00,True,4147.7,4147,0.6999999999998181
256,2025-11-11 03:17:00,True,4149.8,4149,0.8000000000001819
272,2025-11-11 03:33:00,True,4150.9,4150.1,0.7999999999992724
280,2025-11-11 03:41:00,False,4152.7,4152,0.6999999999998181
283,2025-11-11 03:44:00,False,4151.5,4151.1,0.3999999999996362
286,2025-11-11 03:47:00,True,4151.5,4150.7,0.8000000000001819
298,2025-11-11 03:59:00,True,4151.9,4151.5,0.3999999999996362
306,2025-11-11 04:07:00,False,4153.6,4152.7,0.9000000000005457
307,2025-11-11 04:08:00,False,4152.7,4151.9,0.8000000000001819
313,2025-11-11 04:14:00,False,4149.6,4149.1,0.5
320,2025-11-11 04:21:00,True,4149.4,4148.9,0.5
329,2025-11-11 04:30:00,True,4149.6,4149.4,0.2000000000007276
342,2025-11-11 04:43:00,False,4149.6,4149,0.6000000000003638
346,2025-11-11 04:47:00,True,4148.5,4148.2,0.3000000000001819
348,2025-11-11 04:49:00,True,4149.7,4149.1,0.5999999999994543
352,2025-11-11 04:53:00,True,4150.8,4149.9,0.9000000000005457
355,2025-11-11 04:56:00,False,4150.6,4149.6,1.0
356,2025-11-11 04:57:00,False,4149.5,4148.6,0.8999999999996362
365,2025-11-11 05:06:00,False,4147.7,4147.3,0.3999999999996362
370,2025-11-11 05:11:00,True,4145.6,4144.5,1.1000000000003638
382,2025-11-11 05:23:00,False,4146.1,4145,1.1000000000003638
384,2025-11-11 05:25:00,False,4143.9,4143.1,0.7999999999992724
395,2025-11-11 05:36:00,False,4139.6,4138.2,1.4000000000005457
396,2025-11-11 05:37:00,False,4137.7,4136.4,1.300000000000182
397,2025-11-11 05:38:00,False,4135.1,4134.2,0.9000000000005457
407,2025-11-11 05:48:00,True,4138.5,4137.7,0.8000000000001819
416,2025-11-11 05:57:00,True,4140.3,4139.6,0.6999999999998181
418,2025-11-11 05:59:00,False,4140.3,4138.8,1.5
429,2025-11-11 06:10:00,True,4136.9,4134.8,2.0999999999994543
432,2025-11-11 06:13:00,True,4139.2,4138.1,1.0999999999994543
441,2025-11-11 06:22:00,True,4142.6,4141.2,1.4000000000005457
455,2025-11-11 06:36:00,False,4139.2,4138.3,0.8999999999996362
462,2025-11-11 06:43:00,False,4136.9,4136.1,0.7999999999992724
472,2025-11-11 06:53:00,True,4136.5,4136.1,0.3999999999996362
479,2025-11-11 07:00:00,False,4137.3,4136.8,0.5
