Type,Bar Index,Time,Price,Leg
HIGH,61,2025-11-11 00:02:00,4126,BEARISH
LOW,65,2025-11-11 00:06:00,4123.1,BULLISH
HIGH,75,2025-11-11 00:16:00,4128.5,BEARISH
LOW,82,2025-11-11 00:23:00,4126.4,BULLISH
HIGH,94,2025-11-11 00:35:00,4134.5,BEARISH
LOW,101,2025-11-11 00:42:00,4131.4,BULLISH
HIGH,123,2025-11-11 01:04:00,4142,BEARISH
LOW,128,2025-11-11 01:09:00,4133.9,BULLISH
HIGH,136,2025-11-11 01:17:00,4142.8,BEARISH
LOW,139,2025-11-11 01:20:00,4136.4,BULLISH
HIGH,154,2025-11-11 01:35:00,4147.4,BEARISH
LOW,157,2025-11-11 01:38:00,4142.6,BULLISH
HIGH,160,2025-11-11 01:41:00,4147,BEARISH
LOW,166,2025-11-11 01:47:00,4137.8,BULLISH
HIGH,172,2025-11-11 01:53:00,4142.7,BEARISH
LOW,176,2025-11-11 01:57:00,4136.3,BULLISH
HIGH,180,2025-11-11 02:01:00,4143.2,BEARISH
LOW,186,2025-11-11 02:07:00,4136.9,BULLISH
HIGH,190,2025-11-11 02:11:00,4141.8,BEARISH
LOW,197,2025-11-11 02:18:00,4138.4,BULLISH
HIGH,203,2025-11-11 02:24:00,4143.9,BEARISH
LOW,212,2025-11-11 02:33:00,4135.2,BULLISH
HIGH,213,2025-11-11 02:34:00,4139.5,BEARISH
LOW,217,2025-11-11 02:38:00,4135.5,BULLISH
HIGH,226,2025-11-11 02:47:00,4145.2,BEARISH
LOW,235,2025-11-11 02:56:00,4140,BULLISH
HIGH,238,2025-11-11 02:59:00,4145.5,BEARISH
LOW,240,2025-11-11 03:01:00,4142.8,BULLISH
HIGH,260,2025-11-11 03:21:00,4151.4,BEARISH
LOW,270,2025-11-11 03:31:00,4148.8,BULLISH
HIGH,276,2025-11-11 03:37:00,4154,BEARISH
LOW,283,2025-11-11 03:44:00,4149.2,BULLISH
HIGH,290,2025-11-11 03:51:00,4153,BEARISH
LOW,297,2025-11-11 03:58:00,4150.2,BULLISH
HIGH,303,2025-11-11 04:04:00,4155,BEARISH
LOW,317,2025-11-11 04:18:00,4147.9,BULLISH
HIGH,321,2025-11-11 04:22:00,4150,BEARISH
LOW,326,2025-11-11 04:27:00,4148.1,BULLISH
HIGH,330,2025-11-11 04:31:00,4151,BEARISH
LOW,332,2025-11-11 04:33:00,4148.8,BULLISH
HIGH,340,2025-11-11 04:41:00,4152.2,BEARISH
LOW,343,2025-11-11 04:44:00,4147.6,BULLISH
HIGH,353,2025-11-11 04:54:00,4152.4,BEARISH
LOW,356,2025-11-11 04:57:00,4147.6,BULLISH
HIGH,363,2025-11-11 05:04:00,4150.6,BEARISH
LOW,367,2025-11-11 05:08:00,4141.9,BULLISH
HIGH,377,2025-11-11 05:18:00,4148.9,BEARISH
LOW,384,2025-11-11 05:25:00,4141.9,BULLISH
HIGH,386,2025-11-11 05:27:00,4144.4,BEARISH
LOW,397,2025-11-11 05:38:00,4131.4,BULLISH
HIGH,410,2025-11-11 05:51:00,4142.3,BEARISH
LOW,426,2025-11-11 06:07:00,4133.2,BULLISH
HIGH,440,2025-11-11 06:21:00,4144,BEARISH
LOW,469,2025-11-11 06:50:00,4133.5,BULLISH
HIGH,474,2025-11-11 06:55:00,4139,BEARISH
LOW,485,2025-11-11 07:06:00,4131.8,BULLISH
HIGH,502,2025-11-11 07:23:00,4139.5,BEARISH
LOW,504,2025-11-11 07:25:00,4134.8,BULLISH
HIGH,507,2025-11-11 07:28:00,4138.4,BEARISH
LOW,520,2025-11-11 07:41:00,4133.1,BULLISH
HIGH,526,2025-11-11 07:47:00,4139.3,BEARISH
LOW,532,2025-11-11 07:53:00,4131.2,BULLISH
HIGH,536,2025-11-11 07:57:00,4138.8,BEARISH
LOW,541,2025-11-11 08:02:00,4135.2,BULLISH
HIGH,545,2025-11-11 08:06:00,4142.7,BEARISH
LOW,548,2025-11-11 08:09:00,4139.7,BULLISH
