layer,type,date,time,timestamp,bar_index,price,leg
INTERNAL,HIGH,2025-11-10,23:07:00,2025-11-10 23:07:00,6,4125.0,BEAR_LEG
INTERNAL,LOW,2025-11-10,23:19:00,2025-11-10 23:19:00,18,4124.9,BULL_LEG
INTERNAL,HIGH,2025-11-10,23:22:00,2025-11-10 23:22:00,21,4127.3,BEAR_LEG
INTERNAL,LOW,2025-11-10,23:28:00,2025-11-10 23:28:00,27,4125.7,BULL_LEG
INTERNAL,HIGH,2025-11-10,23:31:00,2025-11-10 23:31:00,30,4127.5,BEAR_LEG
INTERNAL,LOW,2025-11-10,23:32:00,2025-11-10 23:32:00,31,4125.1,BULL_LEG
INTERNAL,HIGH,2025-11-10,23:42:00,2025-11-10 23:42:00,41,4126.8,BEAR_LEG
INTERNAL,LOW,2025-11-10,23:52:00,2025-11-10 23:52:00,51,4125.2,BULL_LEG
INTERNAL,HIGH,2025-11-11,00:01:00,2025-11-11 00:01:00,60,4127.3,BEAR_LEG
INTERNAL,LOW,2025-11-11,00:03:00,2025-11-11 00:03:00,62,4123.8,BULL_LEG
INTERNAL,HIGH,2025-11-11,00:09:00,2025-11-11 00:09:00,68,4125.5,BEAR_LEG
INTERNAL,LOW,2025-11-11,00:23:00,2025-11-11 00:23:00,82,4126.4,BULL_LEG
INTERNAL,HIGH,2025-11-11,00:24:00,2025-11-11 00:24:00,83,4129.0,BEAR_LEG
EXTERNAL,HIGH,2025-11-11,00:27:00,2025-11-11 00:27:00,86,4130.8,BEAR_LEG
INTERNAL,LOW,2025-11-11,00:42:00,2025-11-11 00:42:00,101,4131.4,BULL_LEG
INTERNAL,HIGH,2025-11-11,00:43:00,2025-11-11 00:43:00,102,4134.4,BEAR_LEG
INTERNAL,LOW,2025-11-11,00:59:00,2025-11-11 00:59:00,118,4136.1,BULL_LEG
INTERNAL,HIGH,2025-11-11,01:03:00,2025-11-11 01:03:00,122,4140.8,BEAR_LEG
INTERNAL,LOW,2025-11-11,01:08:00,2025-11-11 01:08:00,127,4134.2,BULL_LEG
INTERNAL,HIGH,2025-11-11,01:13:00,2025-11-11 01:13:00,132,4138.8,BEAR_LEG
INTERNAL,LOW,2025-11-11,01:20:00,2025-11-11 01:20:00,139,4136.4,BULL_LEG
INTERNAL,HIGH,2025-11-11,01:26:00,2025-11-11 01:26:00,145,4141.0,BEAR_LEG
INTERNAL,LOW,2025-11-11,01:37:00,2025-11-11 01:37:00,156,4143.5,BULL_LEG
INTERNAL,HIGH,2025-11-11,01:59:00,2025-11-11 01:59:00,178,4142.9,BEAR_LEG
INTERNAL,LOW,2025-11-11,02:03:00,2025-11-11 02:03:00,182,4137.7,BULL_LEG
