layer,type,date,time,timestamp,bar_index,price,leg
INTERNAL,LOW,2025-11-10,23:10:00,2025-11-10 23:10:00,4,4123.1,BULL_LEG
INTERNAL,HIGH,2025-11-10,23:18:00,2025-11-10 23:18:00,12,4127.6,BEAR_LEG
INTERNAL,LOW,2025-11-10,23:26:00,2025-11-10 23:26:00,20,4122.6,BULL_LEG
INTERNAL,HIGH,2025-11-10,23:28:00,2025-11-10 23:28:00,22,4127.6,BEAR_LEG
INTERNAL,LOW,2025-11-10,23:43:00,2025-11-10 23:43:00,37,4125.0,BULL_LEG
INTERNAL,HIGH,2025-11-10,23:55:00,2025-11-10 23:55:00,49,4129.7,BEAR_LEG
INTERNAL,LOW,2025-11-11,00:11:00,2025-11-11 00:11:00,65,4123.1,BULL_LEG
EXTERNAL,LOW,2025-11-11,00:11:00,2025-11-11 00:11:00,20,4122.6,BULL_LEG
INTERNAL,HIGH,2025-11-11,00:21:00,2025-11-11 00:21:00,75,4128.5,BEAR_LEG
INTERNAL,LOW,2025-11-11,00:28:00,2025-11-11 00:28:00,82,4126.4,BULL_LEG
INTERNAL,HIGH,2025-11-11,00:40:00,2025-11-11 00:40:00,94,4134.5,BEAR_LEG
INTERNAL,LOW,2025-11-11,00:47:00,2025-11-11 00:47:00,101,4131.4,BULL_LEG
INTERNAL,HIGH,2025-11-11,01:09:00,2025-11-11 01:09:00,123,4142.0,BEAR_LEG
INTERNAL,LOW,2025-11-11,01:14:00,2025-11-11 01:14:00,128,4133.9,BULL_LEG
INTERNAL,HIGH,2025-11-11,01:22:00,2025-11-11 01:22:00,136,4142.8,BEAR_LEG
INTERNAL,LOW,2025-11-11,01:25:00,2025-11-11 01:25:00,139,4136.4,BULL_LEG
INTERNAL,HIGH,2025-11-11,01:40:00,2025-11-11 01:40:00,154,4147.4,BEAR_LEG
INTERNAL,LOW,2025-11-11,01:43:00,2025-11-11 01:43:00,157,4142.6,BULL_LEG
INTERNAL,HIGH,2025-11-11,01:46:00,2025-11-11 01:46:00,160,4147.0,BEAR_LEG
INTERNAL,LOW,2025-11-11,01:52:00,2025-11-11 01:52:00,166,4137.8,BULL_LEG
INTERNAL,HIGH,2025-11-11,01:58:00,2025-11-11 01:58:00,172,4142.7,BEAR_LEG
INTERNAL,LOW,2025-11-11,02:02:00,2025-11-11 02:02:00,176,4136.3,BULL_LEG
INTERNAL,HIGH,2025-11-11,02:06:00,2025-11-11 02:06:00,180,4143.2,BEAR_LEG
INTERNAL,LOW,2025-11-11,02:12:00,2025-11-11 02:12:00,186,4136.9,BULL_LEG
INTERNAL,HIGH,2025-11-11,02:16:00,2025-11-11 02:16:00,190,4141.8,BEAR_LEG
INTERNAL,LOW,2025-11-11,02:23:00,2025-11-11 02:23:00,197,4138.4,BULL_LEG
EXTERNAL,HIGH,2025-11-11,02:25:00,2025-11-11 02:25:00,154,4147.4,BEAR_LEG
INTERNAL,HIGH,2025-11-11,02:29:00,2025-11-11 02:29:00,203,4143.9,BEAR_LEG
INTERNAL,LOW,2025-11-11,02:38:00,2025-11-11 02:38:00,212,4135.2,BULL_LEG
INTERNAL,HIGH,2025-11-11,02:39:00,2025-11-11 02:39:00,213,4139.5,BEAR_LEG
INTERNAL,LOW,2025-11-11,02:43:00,2025-11-11 02:43:00,217,4135.5,BULL_LEG
INTERNAL,HIGH,2025-11-11,02:52:00,2025-11-11 02:52:00,226,4145.2,BEAR_LEG
INTERNAL,LOW,2025-11-11,03:01:00,2025-11-11 03:01:00,235,4140.0,BULL_LEG
INTERNAL,HIGH,2025-11-11,03:04:00,2025-11-11 03:04:00,238,4145.5,BEAR_LEG
INTERNAL,LOW,2025-11-11,03:06:00,2025-11-11 03:06:00,240,4142.8,BULL_LEG
EXTERNAL,LOW,2025-11-11,03:23:00,2025-11-11 03:23:00,212,4135.2,BULL_LEG
INTERNAL,HIGH,2025-11-11,03:26:00,2025-11-11 03:26:00,260,4151.4,BEAR_LEG
INTERNAL,LOW,2025-11-11,03:36:00,2025-11-11 03:36:00,270,4148.8,BULL_LEG
INTERNAL,HIGH,2025-11-11,03:42:00,2025-11-11 03:42:00,276,4154.0,BEAR_LEG
INTERNAL,LOW,2025-11-11,03:49:00,2025-11-11 03:49:00,283,4149.2,BULL_LEG
INTERNAL,HIGH,2025-11-11,03:56:00,2025-11-11 03:56:00,290,4153.0,BEAR_LEG
INTERNAL,LOW,2025-11-11,04:03:00,2025-11-11 04:03:00,297,4150.2,BULL_LEG
INTERNAL,HIGH,2025-11-11,04:09:00,2025-11-11 04:09:00,303,4155.0,BEAR_LEG
INTERNAL,LOW,2025-11-11,04:23:00,2025-11-11 04:23:00,317,4147.9,BULL_LEG
INTERNAL,HIGH,2025-11-11,04:27:00,2025-11-11 04:27:00,321,4150.0,BEAR_LEG
INTERNAL,LOW,2025-11-11,04:32:00,2025-11-11 04:32:00,326,4148.1,BULL_LEG
INTERNAL,HIGH,2025-11-11,04:36:00,2025-11-11 04:36:00,330,4151.0,BEAR_LEG
INTERNAL,LOW,2025-11-11,04:38:00,2025-11-11 04:38:00,332,4148.8,BULL_LEG
INTERNAL,HIGH,2025-11-11,04:46:00,2025-11-11 04:46:00,340,4152.2,BEAR_LEG
INTERNAL,LOW,2025-11-11,04:49:00,2025-11-11 04:49:00,343,4147.6,BULL_LEG
EXTERNAL,HIGH,2025-11-11,04:54:00,2025-11-11 04:54:00,303,4155.0,BEAR_LEG
INTERNAL,HIGH,2025-11-11,04:59:00,2025-11-11 04:59:00,353,4152.4,BEAR_LEG
INTERNAL,LOW,2025-11-11,05:02:00,2025-11-11 05:02:00,356,4147.6,BULL_LEG
INTERNAL,HIGH,2025-11-11,05:09:00,2025-11-11 05:09:00,363,4150.6,BEAR_LEG
INTERNAL,LOW,2025-11-11,05:13:00,2025-11-11 05:13:00,367,4141.9,BULL_LEG
INTERNAL,HIGH,2025-11-11,05:23:00,2025-11-11 05:23:00,377,4148.9,BEAR_LEG
INTERNAL,LOW,2025-11-11,05:30:00,2025-11-11 05:30:00,384,4141.9,BULL_LEG
INTERNAL,HIGH,2025-11-11,05:32:00,2025-11-11 05:32:00,386,4144.4,BEAR_LEG
INTERNAL,LOW,2025-11-11,05:43:00,2025-11-11 05:43:00,397,4131.4,BULL_LEG
INTERNAL,HIGH,2025-11-11,05:56:00,2025-11-11 05:56:00,410,4142.3,BEAR_LEG
INTERNAL,LOW,2025-11-11,06:12:00,2025-11-11 06:12:00,426,4133.2,BULL_LEG
INTERNAL,HIGH,2025-11-11,06:26:00,2025-11-11 06:26:00,440,4144.0,BEAR_LEG
EXTERNAL,LOW,2025-11-11,06:28:00,2025-11-11 06:28:00,397,4131.4,BULL_LEG
INTERNAL,LOW,2025-11-11,06:55:00,2025-11-11 06:55:00,469,4133.5,BULL_LEG
INTERNAL,HIGH,2025-11-11,07:00:00,2025-11-11 07:00:00,474,4139.0,BEAR_LEG
INTERNAL,LOW,2025-11-11,07:11:00,2025-11-11 07:11:00,485,4131.8,BULL_LEG
EXTERNAL,HIGH,2025-11-11,07:11:00,2025-11-11 07:11:00,440,4144.0,BEAR_LEG
